"gemeenten";"leerlingen basisonderwijs die thuis geen Nederlands spreken (t.o.v. lln bo) - WP|2014";"leerlingen basisonderwijs die thuis geen Nederlands spreken (t.o.v. lln bo) - WP|2015";"leerlingen basisonderwijs die thuis geen Nederlands spreken (t.o.v. lln bo) - WP|2016";"leerlingen basisonderwijs die thuis geen Nederlands spreken (t.o.v. lln bo) - WP|2017";"leerlingen basisonderwijs die thuis geen Nederlands spreken (t.o.v. lln bo) - WP|2018";"leerlingen basisonderwijs die thuis geen Nederlands spreken (t.o.v. lln bo) - WP|2019";"leerlingen basisonderwijs die thuis geen Nederlands spreken (t.o.v. lln bo) - WP|2020";"leerlingen basisonderwijs die thuis geen Nederlands spreken (t.o.v. lln bo) - WP|2021";"leerlingen basisonderwijs die thuis geen Nederlands spreken (t.o.v. lln bo) - WP|2022";"leerlingen basisonderwijs die thuis geen Nederlands spreken (t.o.v. lln bo) - WP|2023";"leerlingen basisonderwijs die thuis geen Nederlands spreken (t.o.v. lln bo) - WP|2024";"leerlingen secundair onderwijs die thuis geen Nederlands spreken (t.o.v. lln so) - WP|2014";"leerlingen secundair onderwijs die thuis geen Nederlands spreken (t.o.v. lln so) - WP|2015";"leerlingen secundair onderwijs die thuis geen Nederlands spreken (t.o.v. lln so) - WP|2016";"leerlingen secundair onderwijs die thuis geen Nederlands spreken (t.o.v. lln so) - WP|2017";"leerlingen secundair onderwijs die thuis geen Nederlands spreken (t.o.v. lln so) - WP|2018";"leerlingen secundair onderwijs die thuis geen Nederlands spreken (t.o.v. lln so) - WP|2019";"leerlingen secundair onderwijs die thuis geen Nederlands spreken (t.o.v. lln so) - WP|2020";"leerlingen secundair onderwijs die thuis geen Nederlands spreken (t.o.v. lln so) - WP|2021";"leerlingen secundair onderwijs die thuis geen Nederlands spreken (t.o.v. lln so) - WP|2022";"leerlingen secundair onderwijs die thuis geen Nederlands spreken (t.o.v. lln so) - WP|2023";"leerlingen secundair onderwijs die thuis geen Nederlands spreken (t.o.v. lln so) - WP|2024";"0-24 jaar totaal niet-Belgische herkomst|2014";"0-24 jaar totaal niet-Belgische herkomst|2015";"0-24 jaar totaal niet-Belgische herkomst|2016";"0-24 jaar totaal niet-Belgische herkomst|2017";"0-24 jaar totaal niet-Belgische herkomst|2018";"0-24 jaar totaal niet-Belgische herkomst|2019";"0-24 jaar totaal niet-Belgische herkomst|2020";"0-24 jaar totaal niet-Belgische herkomst|2021";"0-24 jaar totaal niet-Belgische herkomst|2022";"0-24 jaar totaal niet-Belgische herkomst|2023";"0-24 jaar totaal niet-Belgische herkomst|2024";"0-24 jaar Maghreb herkomst (t.o.v. 0-24 jaar)|2014";"0-24 jaar Maghreb herkomst (t.o.v. 0-24 jaar)|2015";"0-24 jaar Maghreb herkomst (t.o.v. 0-24 jaar)|2016";"0-24 jaar Maghreb herkomst (t.o.v. 0-24 jaar)|2017";"0-24 jaar Maghreb herkomst (t.o.v. 0-24 jaar)|2018";"0-24 jaar Maghreb herkomst (t.o.v. 0-24 jaar)|2019";"0-24 jaar Maghreb herkomst (t.o.v. 0-24 jaar)|2020";"0-24 jaar Maghreb herkomst (t.o.v. 0-24 jaar)|2021";"0-24 jaar Maghreb herkomst (t.o.v. 0-24 jaar)|2022";"0-24 jaar Maghreb herkomst (t.o.v. 0-24 jaar)|2023";"0-24 jaar Maghreb herkomst (t.o.v. 0-24 jaar)|2024";"0-24 jaar Turkse herkomst (t.o.v. 0-24 jaar)|2014";"0-24 jaar Turkse herkomst (t.o.v. 0-24 jaar)|2015";"0-24 jaar Turkse herkomst (t.o.v. 0-24 jaar)|2016";"0-24 jaar Turkse herkomst (t.o.v. 0-24 jaar)|2017";"0-24 jaar Turkse herkomst (t.o.v. 0-24 jaar)|2018";"0-24 jaar Turkse herkomst (t.o.v. 0-24 jaar)|2019";"0-24 jaar Turkse herkomst (t.o.v. 0-24 jaar)|2020";"0-24 jaar Turkse herkomst (t.o.v. 0-24 jaar)|2021";"0-24 jaar Turkse herkomst (t.o.v. 0-24 jaar)|2022";"0-24 jaar Turkse herkomst (t.o.v. 0-24 jaar)|2023";"0-24 jaar Turkse herkomst (t.o.v. 0-24 jaar)|2024";"0-24 jaar Oost-Europese (niet-EU) herkomst (t.o.v. 0-24 jaar)|2014";"0-24 jaar Oost-Europese (niet-EU) herkomst (t.o.v. 0-24 jaar)|2015";"0-24 jaar Oost-Europese (niet-EU) herkomst (t.o.v. 0-24 jaar)|2016";"0-24 jaar Oost-Europese (niet-EU) herkomst (t.o.v. 0-24 jaar)|2017";"0-24 jaar Oost-Europese (niet-EU) herkomst (t.o.v. 0-24 jaar)|2018";"0-24 jaar Oost-Europese (niet-EU) herkomst (t.o.v. 0-24 jaar)|2019";"0-24 jaar Oost-Europese (niet-EU) herkomst (t.o.v. 0-24 jaar)|2020";"0-24 jaar Oost-Europese (niet-EU) herkomst (t.o.v. 0-24 jaar)|2021";"0-24 jaar Oost-Europese (niet-EU) herkomst (t.o.v. 0-24 jaar)|2022";"0-24 jaar Oost-Europese (niet-EU) herkomst (t.o.v. 0-24 jaar)|2023";"0-24 jaar Oost-Europese (niet-EU) herkomst (t.o.v. 0-24 jaar)|2024";"0-24 jaar andere Afrikaanse herkomst (t.o.v. 0-24 jaar)|2014";"0-24 jaar andere Afrikaanse herkomst (t.o.v. 0-24 jaar)|2015";"0-24 jaar andere Afrikaanse herkomst (t.o.v. 0-24 jaar)|2016";"0-24 jaar andere Afrikaanse herkomst (t.o.v. 0-24 jaar)|2017";"0-24 jaar andere Afrikaanse herkomst (t.o.v. 0-24 jaar)|2018";"0-24 jaar andere Afrikaanse herkomst (t.o.v. 0-24 jaar)|2019";"0-24 jaar andere Afrikaanse herkomst (t.o.v. 0-24 jaar)|2020";"0-24 jaar andere Afrikaanse herkomst (t.o.v. 0-24 jaar)|2021";"0-24 jaar andere Afrikaanse herkomst (t.o.v. 0-24 jaar)|2022";"0-24 jaar andere Afrikaanse herkomst (t.o.v. 0-24 jaar)|2023";"0-24 jaar andere Afrikaanse herkomst (t.o.v. 0-24 jaar)|2024"
"Aalst";22,9;24,0;25,3;26,0;26,9;28,2;29,9;30,6;31,6;33,8;35,9;15,6;17,7;19,2;21,0;22,1;23,8;25,0;26,7;29,1;30,5;31,5;7046;7362;7836;8264;8744;9279;9857;10313;10920;11605;12310;5,1;5,2;5,5;5,8;6,1;6,3;6,7;6,8;7,1;7,4;7,6;3,1;3,1;3,2;3,2;3,1;3,1;3,1;3,0;3,0;2,9;3,0;2,9;2,9;3,1;3,1;3,1;3,2;3,2;3,3;3,5;4,1;4,3;9,5;10,0;10,5;11,0;11,6;12,0;12,9;13,6;14,3;14,8;15,5
"Aalter";2,4;2,7;2,8;3,3;3,8;4,4;5,1;6,0;7,3;8,6;9,7;2,2;2,4;2,4;2,8;2,9;3,1;3,5;4,1;3,9;5,0;6,2;620;625;687;784;784;824;900;930;1006;1128;1180;0,5;0,5;0,6;0,5;0,6;0,6;0,6;0,7;0,7;0,8;0,9;0,1;0,2;0,2;0,2;0,2;0,3;0,3;0,3;0,3;0,3;0,3;0,5;0,6;0,6;0,7;0,6;0,8;0,8;0,9;0,8;1,3;1,3;0,6;0,6;0,6;0,7;0,7;0,8;1,0;1,1;1,2;1,4;1,6
"Aarschot";5,4;5,5;6,0;5,9;7,2;8,4;10,3;10,8;11,9;13,2;13,9;3,8;4,3;5,1;6,3;6,5;7,7;8,2;8,2;9,5;10,4;11,3;953;990;1024;1093;1195;1270;1372;1404;1555;1654;1752;1,0;1,2;1,2;1,3;1,2;1,4;1,4;1,5;1,6;1,7;1,8;0,4;0,4;0,4;0,5;0,6;0,7;0,7;0,8;0,9;0,9;1,0;1,1;1,3;1,3;1,3;1,3;1,3;1,3;1,2;1,4;2,1;2,2;1,3;1,2;1,4;1,5;1,9;2,2;2,4;2,6;3,1;3,5;3,6
"Aartselaar";7,6;7,4;8,4;9,2;10,4;10,9;12,4;14,8;17,2;19,9;21,7;6,0;6,5;7,0;6,4;8,3;9,5;9,0;9,4;10,0;11,5;13,5;754;788;869;891;951;1022;1138;1189;1300;1407;1497;3,0;3,4;4,0;4,7;5,4;5,6;7,0;8,1;8,3;9,2;9,3;1,0;1,0;1,1;1,2;1,2;1,6;2,0;2,2;2,6;3,1;3,5;2,8;3,0;3,2;3,1;3,1;3,2;3,8;4,1;4,3;4,9;4,6;1,4;1,7;1,7;1,8;2,0;2,4;2,5;2,5;2,8;3,0;3,0
"Affligem";16,7;17,1;17,7;19,3;19,6;20,3;22,5;25,2;26,6;28,3;29,8;10,0;12,6;13,6;14,3;15,0;16,1;17,1;18,3;19,3;21,5;22,9;841;889;938;994;1048;1076;1169;1266;1326;1416;1494;5,0;5,5;5,8;6,2;6,6;6,8;7,5;7,9;8,8;9,4;9,6;0,9;0,9;0,9;1,0;1,0;1,2;1,3;1,3;1,3;1,3;1,4;0,8;0,9;0,9;0,9;1,0;1,2;1,1;1,5;1,2;1,9;2,1;6,2;6,7;7,2;7,2;7,1;7,3;7,2;7,8;8,1;8,6;9,2
"Alken";4,3;4,6;5,4;5,0;4,7;5,6;5,7;6,5;7,7;9,8;10,0;3,0;3,6;3,6;4,6;5,5;6,4;6,9;7,7;7,7;7,6;8,6;465;467;502;513;541;543;594;609;641;677;693;1,5;1,6;1,8;1,9;2,2;2,4;2,6;2,6;2,6;3,0;3,2;0,4;0,4;0,5;0,5;0,5;0,4;0,8;0,7;0,9;0,8;0,8;1,2;1,1;1,3;1,3;1,2;1,3;1,6;2,0;1,8;2,7;2,7;1,3;1,6;1,5;1,2;1,4;1,5;1,6;1,8;1,6;1,7;2,0
"Alveringem";2,1;2,0;3,1;4,5;3,9;3,0;3,4;4,5;6,2;5,6;8,3;1,8;2,8;2,5;3,0;3,0;3,0;3,3;3,4;2,9;2,3;5,3;106;119;127;140;149;136;135;145;163;163;141;"x";0,4;0,4;0,7;0,8;0,9;0,8;0,9;0,9;1,0;0,8;0,0;0,0;0,0;0,0;0,0;"x";0,0;0,0;0,0;0,0;0,0;"x";0,4;0,3;0,6;0,4;0,5;0,6;0,5;0,8;1,3;1,6;"x";"x";"x";"x";"x";"x";"x";0,5;1,0;0,8;0,6
"Anderlecht";73,3;74,5;75,8;76,8;77,3;77,9;79,4;79,4;79,7;80,0;79,4;73,5;75,6;75,5;74,9;74,5;74,4;72,7;72,1;72,6;73,4;74,6;"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Antwerpen";42,4;43,1;43,7;44,5;45,3;45,5;45,8;46,0;46,2;48,0;48,8;33,6;34,4;35,3;36,7;38,1;39,5;40,5;41,6;42,7;44,2;45,2;103060;105502;108561;111779;114523;116911;119551;120858;122809;127655;130540;20,6;20,9;21,2;21,5;21,8;22,0;22,2;22,4;22,4;22,1;21,9;5,9;5,9;5,8;5,8;5,7;5,7;5,6;5,6;5,5;5,3;5,2;5,7;5,6;5,5;5,4;5,4;5,4;5,4;5,4;5,3;6,9;7,2;6,2;6,4;6,6;6,9;7,1;7,2;7,4;7,5;7,6;7,6;7,7
"Anzegem";2,0;1,5;1,9;2,5;3,7;5,0;5,6;6,2;6,4;8,3;9,8;1,3;1,5;1,5;1,8;2,4;3,2;4,0;3,1;3,4;4,4;5,5;260;277;280;303;328;362;389;429;460;535;538;0,7;0,9;0,9;0,9;0,7;1,0;1,3;1,3;1,1;1,0;1,2;0,1;0,2;0,2;0,2;0,2;0,1;0,2;0,2;0,2;0,2;0,2;0,5;0,5;0,5;0,6;0,9;1,0;1,2;1,1;1,1;2,1;2,2;0,5;0,5;0,4;0,4;0,6;0,8;1,0;1,0;1,2;1,6;1,8
