"gemeenten";"nieuwkomers|2014";"nieuwkomers|2015";"nieuwkomers|2016";"nieuwkomers|2017";"nieuwkomers|2018";"nieuwkomers|2019";"nieuwkomers|2020";"nieuwkomers|2021";"nieuwkomers|2022";"nieuwkomers|2023";"nieuwkomers|2024"
"Aalst";444;455;611;591;595;713;599;471;507;646;662
"Aalter";74;88;122;146;134;155;114;107;126;122;70
"Aarschot";61;64;82;92;114;123;101;96;96;133;132
"Aartselaar";35;44;52;49;57;76;66;70;62;65;73
"Affligem";17;22;42;46;53;44;37;35;49;61;50
"Alken";24;32;28;20;24;36;19;22;49;43;36
"Alveringem";13;21;24;23;22;31;36;47;46;30;38
"Anderlecht";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Antwerpen";7094;7711;9479;7878;7680;9298;7077;6246;7450;8961;9778
"Anzegem";11;21;29;18;51;33;39;34;53;38;61
"Ardooie";23;26;34;21;45;31;16;29;66;56;49
"Arendonk";124;301;364;191;217;295;216;191;161;127;123
"As";12;20;29;16;26;23;18;17;21;22;24
"Asse";139;142;338;270;350;418;407;371;410;484;486
"Assenede";45;50;59;44;40;39;43;23;44;44;41
"Avelgem";29;39;38;20;36;39;15;30;23;31;41
"Baarle-Hertog";43;56;68;39;78;81;63;58;56;64;70
"Balen";38;63;62;62;80;87;71;42;80;105;73
"Beernem";30;27;25;32;23;50;25;30;38;68;37
"Beerse";47;64;81;65;78;75;80;57;77;70;88
"Beersel";184;199;259;191;260;226;206;177;164;159;136
"Begijnendijk";8;11;13;21;19;25;13;14;11;15;16
"Bekkevoort";15;14;25;48;36;50;38;15;41;97;109
"Beringen";76;127;163;120;162;162;161;115;182;206;203
"Berlaar";35;32;33;41;37;39;42;22;63;167;96
"Berlare";26;22;27;21;32;34;30;21;27;46;26
"Bertem";34;32;42;43;59;72;63;53;60;55;52
"Bever";2;1;5;6;3;7;4;5;3;5;6
"Beveren-Kruibeke-Zwijndrecht";226;240;476;308;387;422;376;463;490;447;414
"Bierbeek";15;21;43;36;50;43;25;30;43;44;43
"Bilzen-Hoeselt";77;125;141;141;113;157;127;141;137;196;176
"Blankenberge";77;57;118;92;79;125;60;75;104;160;153
"Bocholt";48;67;70;63;63;65;53;74;124;118;102
"Boechout";33;32;37;44;41;48;30;26;30;44;41
"Bonheiden";21;23;32;18;34;34;37;27;35;42;47
"Boom";70;79;104;107;117;123;115;80;154;143;152
"Boortmeerbeek";31;19;51;50;59;37;30;32;58;52;62
"Bornem";32;49;52;57;47;52;46;55;75;64;77
"Boutersem";12;13;16;18;24;24;29;23;22;40;26
"Brakel";25;20;41;29;23;17;26;28;40;30;32
"Brasschaat";157;163;170;167;179;165;170;96;152;182;149
"Brecht";72;86;116;92;127;107;106;90;117;123;114
"Bredene";45;40;58;47;46;59;54;40;48;65;81
"Bree";66;73;65;105;83;76;96;73;130;156;150
"Brugge";812;740;855;1150;1007;1128;661;937;903;1211;1221
"Brussel";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Buggenhout";18;21;28;37;44;47;34;21;49;45;44
"Damme";15;20;324;22;22;29;142;147;96;76;59
"De Haan";7;11;74;43;29;22;36;29;28;40;46
"De Panne";50;43;79;70;62;63;57;40;24;46;31
"Deerlijk";22;28;42;26;22;36;34;26;36;34;34
"Deinze";164;160;154;156;191;192;168;126;205;226;247
"Denderleeuw";50;53;85;89;114;110;116;92;62;84;114
"Dendermonde";120;119;166;129;143;197;165;103;145;182;165
"Dentergem";24;21;22;21;29;28;29;24;30;31;32
"Dessel";34;39;43;51;34;37;35;42;78;55;79
"Destelbergen";30;51;65;70;77;70;65;48;56;84;49
"Diepenbeek";41;46;162;144;124;132;85;92;128;128;121
"Diest";79;95;101;94;82;95;104;75;98;106;102
"Diksmuide";52;79;83;61;61;87;79;47;78;109;62
"Dilbeek";123;93;274;229;226;261;273;261;273;315;273
"Dilsen-Stokkem";87;80;96;70;84;111;115;86;144;148;126
"Drogenbos";40;34;84;93;85;113;71;80;96;78;75
"Duffel";54;73;99;83;101;119;107;85;126;122;113
"Edegem";76;77;102;86;86;81;82;71;94;100;122
"Eeklo";173;133;187;142;206;184;137;150;167;179;185
"Elsene";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Erpe-Mere";25;23;44;59;58;70;73;59;69;98;96
"Essen";157;144;213;195;154;182;167;146;165;176;171
"Etterbeek";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Evere";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Evergem";43;81;77;76;97;105;101;54;93;110;97
"Ganshoren";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Gavere";8;15;22;18;18;24;35;32;24;33;20
"Geel";192;234;249;268;288;331;264;236;417;414;460
"Geetbets";16;9;25;21;23;21;13;16;22;42;37
"Genk";286;298;382;333;421;403;371;352;461;462;493
"Gent";2839;2809;3950;3725;3631;4668;3611;3648;4668;4481;4880
"Geraardsbergen";72;58;100;117;86;101;112;95;130;185;190
"Gingelom";15;15;31;13;26;4;11;12;19;15;20
"Gistel";26;23;45;40;53;65;32;38;28;35;33
