"gemeenten";"nieuwkomers niet-EU|2014";"nieuwkomers niet-EU|2015";"nieuwkomers niet-EU|2016";"nieuwkomers niet-EU|2017";"nieuwkomers niet-EU|2018";"nieuwkomers niet-EU|2019";"nieuwkomers niet-EU|2020";"nieuwkomers niet-EU|2021";"nieuwkomers niet-EU|2022";"nieuwkomers niet-EU|2023";"nieuwkomers niet-EU|2024"
"Aalst";152;233;307;275;253;280;265;280;244;390;391
"Aalter";12;41;74;69;41;37;33;39;33;39;33
"Aarschot";13;24;26;40;35;30;24;39;37;58;75
"Aartselaar";7;21;27;28;26;35;27;40;38;38;56
"Affligem";8;9;29;15;21;15;17;18;21;25;20
"Alken";16;18;25;12;9;19;6;13;28;31;17
"Alveringem";3;11;21;5;8;18;25;40;38;28;34
"Anderlecht";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Antwerpen";2781;4109;5287;4169;3682;4173;3176;3937;4348;5898;6128
"Anzegem";4;17;19;10;22;13;9;15;23;19;30
"Ardooie";0;12;22;5;7;7;3;9;10;26;20
"Arendonk";83;251;283;121;136;222;134;141;78;56;45
"As";5;10;15;5;9;8;8;5;7;8;13
"Asse";51;57;154;103;97;91;107;94;104;183;179
"Assenede";6;35;43;22;15;12;9;10;10;25;21
"Avelgem";3;31;19;14;18;19;7;19;18;14;21
"Baarle-Hertog";8;9;22;8;19;10;3;9;4;5;7
"Balen";12;30;35;21;29;27;17;14;40;47;35
"Beernem";6;16;11;13;12;25;6;19;21;25;19
"Beerse";12;20;43;26;22;22;22;18;22;20;28
"Beersel";134;134;180;114;170;128;115;117;85;68;61
"Begijnendijk";1;8;11;12;11;9;5;9;2;7;11
"Bekkevoort";1;9;15;13;10;4;8;3;10;86;82
"Beringen";37;71;83;63;57;69;64;49;77;109;105
"Berlaar";13;15;27;22;6;12;10;5;38;151;78
"Berlare";8;11;23;14;17;23;14;10;12;23;15
"Bertem";10;11;24;16;17;21;8;27;20;16;28
"Bever";2;1;2;4;2;2;1;2;2;4;4
"Beveren-Kruibeke-Zwijndrecht";68;121;364;152;121;136;163;192;191;239;218
"Bierbeek";3;12;22;18;29;19;14;10;12;22;32
"Bilzen-Hoeselt";29;59;67;66;45;62;49;67;51;94;90
"Blankenberge";29;28;58;47;27;37;21;52;49;92;89
"Bocholt";12;26;28;24;11;23;13;24;23;37;32
"Boechout";15;22;25;26;26;28;19;12;20;28;30
"Bonheiden";11;13;17;12;16;13;16;10;15;21;32
"Boom";38;41;68;67;49;48;44;54;91;79;91
"Boortmeerbeek";6;8;26;27;32;18;11;14;22;27;29
"Bornem";10;33;33;28;16;31;16;33;41;36;58
"Boutersem";5;8;10;14;8;15;6;5;11;22;13
"Brakel";7;8;18;16;11;6;7;14;11;9;13
"Brasschaat";64;69;82;74;72;62;76;50;74;84;67
"Brecht";17;25;58;34;52;32;23;17;36;39;30
"Bredene";16;27;45;36;17;23;21;25;23;41;50
"Bree";8;38;31;38;13;22;21;19;28;35;34
"Brugge";291;272;447;370;355;427;280;460;475;688;615
"Brussel";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Buggenhout";4;17;15;15;17;19;14;6;23;31;27
"Damme";3;5;309;7;6;9;133;135;88;65;45
"De Haan";5;9;43;23;12;7;16;11;12;26;30
"De Panne";11;10;45;33;22;21;22;17;12;24;14
"Deerlijk";6;17;32;17;8;12;13;10;21;17;22
"Deinze";53;68;88;76;58;49;59;64;89;133;155
"Denderleeuw";13;25;52;56;55;60;74;54;41;52;76
"Dendermonde";59;77;115;66;58;67;43;53;79;115;100
"Dentergem";3;14;16;16;5;2;0;3;5;12;10
"Dessel";1;13;30;27;10;11;6;15;10;29;31
"Destelbergen";10;28;44;45;34;24;19;21;30;48;24
"Diepenbeek";17;31;143;108;107;104;69;68;89;101;96
"Diest";29;52;54;39;46;35;41;49;38;61;69
"Diksmuide";21;52;48;29;16;18;15;13;33;60;31
"Dilbeek";36;48;141;106;90;90;89;121;99;136;113
"Dilsen-Stokkem";23;30;37;14;29;24;20;25;28;47;49
"Drogenbos";13;9;42;33;31;30;25;34;34;36;33
"Duffel";13;37;36;28;23;19;27;20;24;33;48
"Edegem";43;45;65;56;36;34;40;38;45;68;88
"Eeklo";110;99;146;99;120;96;69;98;83;101;100
"Elsene";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Erpe-Mere";7;7;28;21;21;16;19;23;29;39;34
"Essen";40;39;69;68;48;63;26;43;27;41;42
"Etterbeek";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Evere";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Evergem";13;51;45;37;31;33;24;23;32;47;48
"Ganshoren";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Gavere";3;5;10;10;11;11;12;10;15;25;10
"Geel";55;81;114;111;91;90;86;89;151;205;218
"Geetbets";5;8;20;17;10;12;7;8;13;28;32
"Genk";104;127;207;141;162;177;136;203;225;239;268
"Gent";689;944;2125;1756;1506;2145;1696;1998;2445;2551;3015
"Geraardsbergen";33;46;74;77;48;46;69;57;63;111;125
