"gemeenten";"nieuwkomers niet-EU per 1.000 inwoners 18+ jaar niet-EU|2014";"nieuwkomers niet-EU per 1.000 inwoners 18+ jaar niet-EU|2015";"nieuwkomers niet-EU per 1.000 inwoners 18+ jaar niet-EU|2016";"nieuwkomers niet-EU per 1.000 inwoners 18+ jaar niet-EU|2017";"nieuwkomers niet-EU per 1.000 inwoners 18+ jaar niet-EU|2018";"nieuwkomers niet-EU per 1.000 inwoners 18+ jaar niet-EU|2019";"nieuwkomers niet-EU per 1.000 inwoners 18+ jaar niet-EU|2020";"nieuwkomers niet-EU per 1.000 inwoners 18+ jaar niet-EU|2021";"nieuwkomers niet-EU per 1.000 inwoners 18+ jaar niet-EU|2022";"nieuwkomers niet-EU per 1.000 inwoners 18+ jaar niet-EU|2023";"nieuwkomers niet-EU per 1.000 inwoners 18+ jaar niet-EU|2024"
"Aalst";24,5;36,2;45,0;38,0;32,7;34,1;30,3;30,2;24,9;36,4;34,2
"Aalter";33,7;113,9;198,9;160,1;101,5;82,6;66,5;74,4;58,7;57,6;43,5
"Aarschot";20,6;34,9;36,7;52,6;40,1;30,8;23,7;36,2;30,9;42,2;48,7
"Aartselaar";13,0;35,9;42,5;43,6;36,6;45,4;31,0;42,6;36,7;33,1;44,6
"Affligem";14,1;14,7;44,0;22,3;30,3;20,5;21,8;20,9;23,7;25,7;19,6
"Alken";55,9;59,8;72,5;34,4;23,8;45,6;13,6;28,0;58,3;54,8;28,1
"Alveringem";100,0;343,8;437,5;100,0;160,0;285,7;403,2;400,0;368,9;250,0;459,5
"Anderlecht";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Antwerpen";26,4;38,5;48,3;37,0;31,8;35,0;25,9;31,6;34,1;43,4;43,2
"Anzegem";33,9;146,6;152,0;76,9;148,6;73,0;41,7;64,9;90,6;59,6;89,3
"Ardooie";0,0;129,0;217,8;45,0;56,5;50,0;19,7;56,6;61,7;135,4;90,5
"Arendonk";282,3;610,7;433,4;271,3;278,7;409,6;179,1;212,0;110,6;81,6;62,4
"As";18,7;35,8;51,4;16,5;28,9;25,5;24,6;14,5;19,3;20,1;30,6
"Asse";14,9;15,8;40,3;25,5;23,3;21,1;23,5;19,9;20,8;34,0;31,1
"Assenede";30,3;167,5;187,0;88,0;56,4;45,5;33,2;35,0;33,6;68,7;56,9
"Avelgem";18,8;180,2;99,0;67,3;85,7;81,5;27,2;73,4;63,6;46,8;63,6
