"gemeenten";"nieuwkomers per 1.000 inwoners 18+ jaar|2014";"nieuwkomers per 1.000 inwoners 18+ jaar|2015";"nieuwkomers per 1.000 inwoners 18+ jaar|2016";"nieuwkomers per 1.000 inwoners 18+ jaar|2017";"nieuwkomers per 1.000 inwoners 18+ jaar|2018";"nieuwkomers per 1.000 inwoners 18+ jaar|2019";"nieuwkomers per 1.000 inwoners 18+ jaar|2020";"nieuwkomers per 1.000 inwoners 18+ jaar|2021";"nieuwkomers per 1.000 inwoners 18+ jaar|2022";"nieuwkomers per 1.000 inwoners 18+ jaar|2023";"nieuwkomers per 1.000 inwoners 18+ jaar|2024"
"Aalst";6,6;6,7;9,0;8,6;8,6;10,3;8,5;6,7;7,1;9,0;9,1
"Aalter";3,3;3,9;5,3;6,3;5,7;6,6;4,8;4,5;5,2;5,0;2,9
"Aarschot";2,5;2,6;3,3;3,7;4,5;4,9;4,0;3,8;3,8;5,2;5,1
"Aartselaar";3,0;3,8;4,4;4,2;4,8;6,4;5,5;5,9;5,2;5,4;6,0
"Affligem";1,7;2,1;4,1;4,5;5,1;4,2;3,5;3,3;4,6;5,7;4,6
"Alken";2,6;3,4;3,0;2,1;2,5;3,8;2,0;2,3;5,0;4,4;3,7
"Alveringem";3,4;5,4;6,1;5,8;5,5;7,8;9,1;11,7;11,4;7,4;9,6
"Anderlecht";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Antwerpen";17,3;18,8;23,1;19,1;18,6;22,3;16,9;14,9;17,7;21,0;22,5
"Anzegem";1,0;1,8;2,5;1,5;4,4;2,8;3,3;2,8;4,4;3,1;5,0
"Ardooie";3,1;3,5;4,6;2,8;6,1;4,2;2,2;3,9;8,8;7,4;6,4
"Arendonk";12,0;28,5;33,6;17,8;20,0;27,0;19,4;17,4;14,5;11,4;11,0
"As";1,9;3,1;4,4;2,4;3,9;3,5;2,7;2,5;3,1;3,3;3,6
"Asse";5,6;5,7;13,4;10,6;13,7;16,2;15,6;14,1;15,3;17,8;17,5
"Assenede";3,9;4,3;5,1;3,8;3,4;3,3;3,7;1,9;3,7;3,7;3,4
"Avelgem";3,7;5,0;4,8;2,5;4,5;4,8;1,8;3,6;2,8;3,8;4,9
"Baarle-Hertog";20,8;26,5;32,2;18,2;36,4;36,7;27,7;25,0;23,7;27,0;29,5
"Balen";2,2;3,5;3,5;3,4;4,4;4,8;3,9;2,3;4,3;5,6;3,8
"Beernem";2,4;2,2;2,0;2,5;1,8;3,9;1,9;2,3;2,9;5,2;2,8
"Beerse";3,4;4,6;5,7;4,5;5,4;5,2;5,5;3,9;5,2;4,7;5,9
"Beersel";9,6;10,4;13,4;9,8;13,3;11,4;10,4;8,8;8,1;7,7;6,6
"Begijnendijk";1,0;1,3;1,6;2,6;2,3;3,0;1,5;1,7;1,3;1,7;1,8
"Bekkevoort";3,0;2,8;5,0;9,6;7,0;9,7;7,3;2,9;7,7;17,5;19,4
"Beringen";2,2;3,6;4,6;3,3;4,4;4,4;4,4;3,1;4,9;5,4;5,3
"Berlaar";3,9;3,5;3,6;4,4;3,9;4,1;4,4;2,3;6,6;16,4;9,2
"Berlare";2,2;1,8;2,3;1,8;2,7;2,8;2,4;1,7;2,2;3,6;2,0
"Bertem";4,5;4,2;5,5;5,5;7,6;9,1;7,9;6,6;7,4;6,7;6,4
"Bever";1,2;0,6;3,0;3,6;1,8;4,2;2,4;2,9;1,7;2,8;3,3
"Beveren-Kruibeke-Zwijndrecht";3,4;3,6;7,1;4,6;5,7;6,2;5,5;6,8;7,1;6,4;5,9
"Bierbeek";1,9;2,7;5,5;4,6;6,3;5,4;3,1;3,7;5,2;5,2;5,1
